Date,Year,Month,CPI_Index,Label,Monthly_Return
2016-05,2016,5,88.77,0,
2016-06,2016,6,89.17,1,0.0045060268108596535
2016-07,2016,7,89.51,0,0.0038129415722776283
2016-08,2016,8,89.83,0,0.0035750195508881255
2016-09,2016,9,90.06,0,0.002560391851274657
2016-10,2016,10,90.29,0,0.0025538529868975868
2016-11,2016,11,90.51,0,0.002436593199689918
2016-12,2016,12,90.88,0,0.004087946083305649
2017-01,2017,1,91.16,0,0.0030809859154929953
2017-02,2017,2,91.47,0,0.0034006143045195447
2017-03,2017,3,91.58,0,0.0012025800809007947
2017-04,2017,4,91.97,0,0.004258571740554773
2017-05,2017,5,92.32,0,0.0038055887789496534
2017-06,2017,6,92.48,0,0.0017331022530331364
2017-07,2017,7,92.64,0,0.0017301038062282892
2017-08,2017,8,92.79,0,0.0016191709844559643
2017-09,2017,9,92.98,0,0.0020476344433666416
2017-10,2017,10,93.24,0,0.0027963002796298486
2017-11,2017,11,93.47,0,0.002466752466752542
2017-12,2017,12,93.66,0,0.0020327377768267763
2018-01,2018,1,93.98,0,0.003416613282084313
2018-02,2018,2,94.21,0,0.002447329218982608
2018-03,2018,3,94.47,0,0.0027597919541451077
2018-04,2018,4,94.74,0,0.0028580501746586773
2018-05,2018,5,95.03,0,0.0030610090774751963
2018-06,2018,6,95.39,0,0.0037882773860886676
2018-07,2018,7,95.63,0,0.0025159870007338547
2018-08,2018,8,95.93,0,0.0031370908710657286
2018-09,2018,9,96.25,0,0.0033357656624621868
2018-10,2018,10,96.46,0,0.0021818181818180626
2018-11,2018,11,96.78,0,0.003317437279701574
2018-12,2018,12,97.01,0,0.002376524075222264
2019-01,2019,1,97.33,0,0.0032986290073186986
2019-02,2019,2,97.82,1,0.005034418986951561
2019-03,2019,3,98.31,1,0.005009200572480221
2019-04,2019,4,98.77,1,0.0046790763910080635
2019-05,2019,5,99.13,0,0.00364483142654648
2019-06,2019,6,99.45,0,0.0032280843337033627
2019-07,2019,7,99.89,0,0.004424333836098526
2019-08,2019,8,100.28,0,0.003904294724196733
2019-09,2019,9,100.6,0,0.0031910650179496347
2019-10,2019,10,101.0,0,0.003976143141153132
2019-11,2019,11,101.31,0,0.003069306930693072
2019-12,2019,12,101.79,1,0.004737933076695233
2020-01,2020,1,102.59,1,0.00785931820414576
2020-02,2020,2,103.39,1,0.007798030997173244
2020-03,2020,3,102.69,-1,-0.00677048070413
